Ada,0,0,-5000,NNP,*,*,*,*,*,Ada,에이다,에이다
Ada API,0,0,-3000,NNG,*,*,*,*,*,Ada API,에이다 에이피아이,에이다 에이피아이
Ada SDK,0,0,-3000,NNG,*,*,*,*,*,Ada SDK,에이다 에스디케이,에이다 에스디케이
Ada 개발,0,0,-3000,NNG,*,*,*,*,*,Ada 개발,에이다 개발,에이다 개발
Ada 개발자,0,0,-3000,NNG,*,*,*,*,*,Ada 개발자,에이다 개발자,에이다 개발자
Ada 검증,0,0,-3000,NNG,*,*,*,*,*,Ada 검증,에이다 검증,에이다 검증
Ada 게이트웨이,0,0,-3000,NNG,*,*,*,*,*,Ada 게이트웨이,에이다 게이트웨이,에이다 게이트웨이
Ada 관리자,0,0,-3000,NNG,*,*,*,*,*,Ada 관리자,에이다 관리자,에이다 관리자
Ada 구성,0,0,-3000,NNG,*,*,*,*,*,Ada 구성,에이다 구성,에이다 구성
Ada 구조,0,0,-3000,NNG,*,*,*,*,*,Ada 구조,에이다 구조,에이다 구조
Ada 권한,0,0,-3000,NNG,*,*,*,*,*,Ada 권한,에이다 권한,에이다 권한
Ada 데이터,0,0,-3000,NNG,*,*,*,*,*,Ada 데이터,에이다 데이터,에이다 데이터
Ada 도구,0,0,-3000,NNG,*,*,*,*,*,Ada 도구,에이다 도구,에이다 도구
Ada 디버깅,0,0,-3000,NNG,*,*,*,*,*,Ada 디버깅,에이다 디버깅,에이다 디버깅
Ada 디자인,0,0,-3000,NNG,*,*,*,*,*,Ada 디자인,에이다 디자인,에이다 디자인
Ada 라이브러리,0,0,-3000,NNG,*,*,*,*,*,Ada 라이브러리,에이다 라이브러리,에이다 라이브러리
Ada 래퍼,0,0,-3000,NNG,*,*,*,*,*,Ada 래퍼,에이다 래퍼,에이다 래퍼
Ada 로깅,0,0,-3000,NNG,*,*,*,*,*,Ada 로깅,에이다 로깅,에이다 로깅
Ada 릴리스,0,0,-3000,NNG,*,*,*,*,*,Ada 릴리스,에이다 릴리스,에이다 릴리스
Ada 마이그레이션,0,0,-3000,NNG,*,*,*,*,*,Ada 마이그레이션,에이다 마이그레이션,에이다 마이그레이션
Ada 매니저,0,0,-3000,NNG,*,*,*,*,*,Ada 매니저,에이다 매니저,에이다 매니저
