# 동사 활용형 보정 사전
# 잘못된 Viterbi 경로를 수정하기 위한 낮은 비용 엔트리
# 형식: 표면형,품사,비용,읽기
#
# 주요 문제: "가는"이 "가늘다+ㄴ"으로 분석되는 문제
# 해결: "가다+는" 형태를 낮은 비용으로 추가

# === 피동사/사동사 기본형 (VV+VX+EF) ===
# "보이다"가 "보이/NNG 다/EF"로 분석되는 문제 해결
보이다,VV+VX+EF,-30000,보이다
들리다,VV+VX+EF,-30000,들리다
먹이다,VV+VX+EF,-30000,먹이다
쓰이다,VV+VX+EF,-30000,쓰이다

# VV + 는/ETM (현재 관형형) - 동사 활용
가는,VV+ETM,-500,가는
오는,VV+ETM,-500,오는
먹는,VV+ETM,-500,먹는
보는,VV+ETM,-500,보는
하는,VV+ETM,-500,하는
되는,VV+ETM,-500,되는
사는,VV+ETM,-500,사는
자는,VV+ETM,-500,자는
주는,VV+ETM,-500,주는
받는,VV+ETM,-500,받는
읽는,VV+ETM,-500,읽는
쓰는,VV+ETM,-500,쓰는
듣는,VV+ETM,-500,듣는
걷는,VV+ETM,-500,걷는
만드는,VV+ETM,-500,만드는
알는,VV+ETM,-500,알는
모르는,VV+ETM,-500,모르는
찾는,VV+ETM,-500,찾는
말하는,VV+ETM,-500,말하는
생각하는,VV+ETM,-500,생각하는

# VV + 은/ㄴ/ETM (과거 관형형) - 동사 활용
# 단음절 패턴은 비용을 낮춰야 VV보다 우선됨
간,VV+ETM,-30000,간
온,VV+ETM,-30000,온
본,VV+ETM,-30000,본
한,VV+ETM,-30000,한
된,VV+ETM,-30000,된
산,VV+ETM,-30000,산
먹은,VV+ETM,-30000,먹은
읽은,VV+ETM,-30000,읽은
잡은,VV+ETM,-30000,잡은
쓴,VV+ETM,-30000,쓴
만든,VV+ETM,-30000,만든
받은,VV+ETM,-30000,받은
준,VV+ETM,-30000,준

# VV + ㄹ/을/ETM (미래 관형형) - 동사 활용
갈,VV+ETM,-30000,갈
올,VV+ETM,-30000,올
볼,VV+ETM,-30000,볼
할,VV+ETM,-30000,할
될,VV+ETM,-30000,될
살,VV+ETM,-30000,살
먹을,VV+ETM,-30000,먹을
읽을,VV+ETM,-30000,읽을
잡을,VV+ETM,-30000,잡을
쓸,VV+ETM,-30000,쓸
만들,VV+ETM,-30000,만들
받을,VV+ETM,-30000,받을
줄,VV+ETM,-30000,줄

# VV + 고/EC (연결)
가고,VV+EC,-500,가고
오고,VV+EC,-500,오고
먹고,VV+EC,-500,먹고
보고,VV+EC,-500,보고
하고,VV+EC,-500,하고
읽고,VV+EC,-500,읽고

# VV + 지/EC (연결 - 부정 구문용)
하지,VV+EC,-500,하지
가지,VV+EC,-500,가지
오지,VV+EC,-500,오지
먹지,VV+EC,-500,먹지
보지,VV+EC,-500,보지
읽지,VV+EC,-500,읽지

# VV + 아서/어서/EC (연결 - 이유)
가서,VV+EC,-500,가서
와서,VV+EC,-500,와서
해서,VV+EC,-500,해서
봐서,VV+EC,-500,봐서
먹어서,VV+EC,-500,먹어서
만나서,VV+EC,-500,만나서

# VV + 면/으면/EC (연결 - 조건)
가면,VV+EC,-500,가면
오면,VV+EC,-500,오면
하면,VV+EC,-500,하면
보면,VV+EC,-500,보면
먹으면,VV+EC,-500,먹으면
읽으면,VV+EC,-500,읽으면

# VV + 니까/으니까/EC (연결 - 이유)
가니까,VV+EC,-500,가니까
오니까,VV+EC,-500,오니까
하니까,VV+EC,-500,하니까
보니까,VV+EC,-500,보니까
먹으니까,VV+EC,-500,먹으니까
있으니까,VV+EC,-500,있으니까

# VV + 고 싶/EC+VX (희망)
가고,VV+EC,-500,가고
싶다,VX+EF,-500,싶다

# VX (보조용언) 단독 - 세종 형식 분리용
# "읽고 있어요" → 읽/VV + 고/EC + 있/VX + 어요/EF
# 비용을 적당히 낮춰서 EC 뒤에서만 우선되도록 함
# 주의: "보", "오", "나", "두" 등은 VV로도 쓰이므로 제외
있,VX,-2000,있
없,VX,-2000,없
않,VX,-2000,않
싶,VX,-2000,싶
지,VX,-2000,지
주,VX,-2000,주
버리,VX,-2000,버리
놓,VX,-2000,놓
내,VX,-2000,내

# VX (보조용언) 활용형 - 복합 태그
않아요,VX+EF,-500,않아요
있어요,VX+EF,-500,있어요
없어요,VX+EF,-500,없어요
싶어요,VX+EF,-500,싶어요
않다,VX+EF,-500,않다
있다,VX+EF,-500,있다

# EF (종결어미) - EC보다 높은 우선순위
# "있어요" → 있/VX + 어요/EF (NOT 어요/EC)
# 비용을 낮춰서 부작용 최소화
어요,EF,-2000,어요
아요,EF,-2000,아요
습니다,EF,-2000,습니다
습니까,EF,-2000,습니까

# EP (선어말어미) - EC보다 높은 우선순위
# "먹었습니다" → 먹/VV + 었/EP + 습니다/EF (NOT 먹/NNG + 었/EC)
었,EP,-2000,었
았,EP,-2000,았

# VV (동사 어간) - NNG와 혼동되는 단어
# "먹" NNG(먹다) vs VV(먹다) - VV 우선
먹,VV,-5000,먹
읽,VV,-5000,읽
살,VV,-5000,살
입,VV,-5000,입
신,VV,-5000,신

# VV + 았/었 (과거 시제) - 축약형은 VV+EF로 (갔/VV 다/EF)
# 정답 데이터: "나는 학교에 갔다" → "갔/VV 다/EF"
갔다,VV+EF,-500,갔다
왔다,VV+EF,-500,왔다
했다,VV+EF,-500,했다
