standard,variant,category,confidence,notes
커피,코피,beverage,0.95,장단음 변이 (어↔오)
초콜릿,초콜렛,food,0.90,받침 변이 (ㅅ)
케이크,케익,food,0.95,이중모음 변이 (이)
쿠키,쿠킹,food,0.80,받침 변이 (ㅇ)
스테이크,스테익,food,0.90,이중모음 변이
샴푸,샴프,beauty,0.85,받침 변이
메이크업,메이컵,beauty,0.85,자음 변이 (ㅋ↔ㅂ)
컴퓨터,컴퓨타,it,0.90,받침 변이
서버,서버,it,0.95,동일 (표준형)
클라이언트,클라이언트,it,0.95,동일 (표준형)
데이터베이스,데이타베이스,it,0.90,이중모음 단순화
소프트웨어,소프트웨아,it,0.90,받침 제거 (ㄹ)
하드웨어,하드웨아,it,0.90,받침 제거 (ㄹ)
라이브러리,라이브러이,it,0.85,받침 변이
디렉토리,디렉터리,it,0.90,모음 변이 (ㅗ↔ㅓ)
쿠버네티스,쿠베르네테스,it,0.85,모음/자음 복합 변이
쿠버네티스,쿠베르네티즈,it,0.80,자음 변이 (ㅅ↔ㅈ)
알고리즘,알고리듬,it,0.90,자음 변이 (ㅈ↔ㄷ)
프로그램,프로그래밍,it,0.70,파생어 관계
데이터,데이타,it,0.90,이중모음 단순화
네트워크,네트웍,it,0.85,받침 변이
인터페이스,인터페이스,it,0.95,동일 (표준형)
인터넷,인터넷,it,0.95,동일 (표준형)
컴파일,컴파일러,it,0.70,파생어 관계
버전,버젼,it,0.85,자음 변이 (ㅅ↔ㅈ)
캐시,캐쉬,it,0.85,자음 변이
쿼리,쿼리,it,0.95,동일 (표준형)
모듈,모듈,it,0.95,동일 (표준형)
패키지,패키지,it,0.95,동일 (표준형)
프레임워크,프레임웍,it,0.85,받침 변이
라우터,라우타,it,0.85,받침 변이
브라우저,브라우저,it,0.95,동일 (표준형)
택시,택시,transport,0.95,동일 (표준형)
버스,버스,transport,0.95,동일 (표준형)
트럭,트럭,transport,0.95,동일 (표준형)
카메라,카메라,electronics,0.95,동일 (표준형)
비디오,비데오,electronics,0.85,모음 변이
라디오,라지오,electronics,0.80,자음 변이 (ㄷ↔ㅈ)
텔레비전,텔레비젼,electronics,0.85,자음 변이
모니터,모니타,electronics,0.85,받침 변이
키보드,키보드,electronics,0.95,동일 (표준형)
마우스,마우스,electronics,0.95,동일 (표준형)
스피커,스피커,electronics,0.95,동일 (표준형)
프린터,프린터,electronics,0.95,동일 (표준형)
스캐너,스캐너,electronics,0.95,동일 (표준형)
프로젝터,프로젝터,electronics,0.95,동일 (표준형)
